  Disciplina,         Nome da disciplina,            Professor,Créd,Trm,Destino,Vag,Turno,Horário/ Unidade,Hr Dist.,SHF,Pré-Req,Depto
INF1019,SISTEMAS DE COMPUTACAO,MARKUS ENDLER,4,3WA,QQC,30,I,"TER 11-13  / GAVEA 
QUI 11-13  / GAVEA",0,0,SIM,INF
INF1020,PRINC SISTEMAS DE INFORMACAO,LUIZ FERNANDO BESSA SEIBEL,4,3WA,CCI,2,I,"TER 13-15  / GAVEA 
QUI 13-15  / GAVEA",0,0,NÃO,INF
INF1020,PRINC SISTEMAS DE INFORMACAO,LUIZ FERNANDO BESSA SEIBEL,4,3WA,QQC,28,I,"TER 13-15  / GAVEA 
QUI 13-15  / GAVEA",0,0,NÃO,INF
INF1021,PRINC GOVERN TECN INFORMACAO,FRANCIS BERENGER MACHADO,4,3WA,QQC,30,I,"TER 13-15  / GAVEA 
QUI 13-15  / GAVEA",0,0,SIM,INF
INF1023,GERENCIAMENTO SERVICOS EM TI,FRANCIS BERENGER MACHADO,4,3WA,QQC,30,I,"SEG 17-19  / GAVEA 
QUA 17-19  / GAVEA",0,0,SIM,INF
INF1030,CONCEITOS DE INFORMATICA,ALEXANDRE MALHEIROS MESLIN,3,3AA,CDI,4,I,SEX 07-10  / GAVEA,0,0,NÃO,ART
INF1030,CONCEITOS DE INFORMATICA,CAROLINA DE LIMA AGUILAR,3,3AB,CDI,4,I,QUA 11-14  / GAVEA,0,0,NÃO,ART
INF1030,CONCEITOS DE INFORMATICA,ALEXANDRE MALHEIROS MESLIN,3,3AA,DIG,18,I,SEX 07-10  / GAVEA,0,0,NÃO,ART
INF1030,CONCEITOS DE INFORMATICA,CAROLINA DE LIMA AGUILAR,3,3AB,DIG,18,I,QUA 11-14  / GAVEA,0,0,NÃO,ART
INF1190,TOPICOS AVANCADOS COMPUTACAO,MARCUS VINICIUS S P DE ARAGAO,2,3WA,QQC,15,I,GAVEA,0,2,NÃO,INF
INF1301,PROGRAMACAO MODULAR,FLAVIO HELENO BEVILACQUA E SILVA,4,3WA,QQC,40,I,"SEG 17-19  / GAVEA 
QUA 17-19  / GAVEA",0,0,SIM,INF
INF1317,REDES DE COMPUTADORES,SERGIO COLCHER,4,3WA,CCI,2,I,"TER 15-17  / GAVEA 
QUI 15-17  / GAVEA",0,0,SIM,INF
INF1317,REDES DE COMPUTADORES,SERGIO COLCHER,4,3WA,QQC,28,I,"TER 15-17  / GAVEA 
QUI 15-17  / GAVEA",0,0,SIM,INF
INF1326,INTERNET E ARQUITETURA TCP/IP,SERGIO COLCHER,4,3WA,QQC,20,I,SEX 09-12  / GAVEA,0,1,SIM,INF
INF1335,TOP ESPECIAIS EM INFORMATICA,SIMONE DINIZ JUNQUEIRA BARBOSA,4,3WA,QQC,20,I,"SEG 15-17  / GAVEA 
QUA 15-17  / GAVEA",0,0,NÃO,INF
INF1339,COMPUTACAO GRAF TRIDIMENSIONAL,WALDEMAR CELES FILHO,4,3WA,QQC,20,I,"SEG 17-19  / GAVEA 
QUA 17-19  / GAVEA",0,0,SIM,INF
INF1359,PROJETO FINAL II,JOISA DE SOUZA OLIVEIRA,4,3WA,QQC,30,I,GAVEA,0,6,SIM,INF
INF1374,BANCO DE DADOS IV,ROGERIO LUIS DE CARVALHO COSTA,4,3WA,QQC,20,I,"TER 19-21  / GAVEA 
QUI 19-21  / GAVEA",0,0,SIM,INF
INF1377,ENGENHARIA DE REQUISITOS,JULIO CESAR SAMPAIO DO PRADO LEITE,4,3WA,QQC,30,I,"TER 15-17  / GAVEA 
QUI 15-17  / GAVEA",0,0,SIM,INF
INF1383,BANCOS DE DADOS,SERGIO LIFSCHITZ,4,3WA,CCI,1,I,"TER 15-17  / GAVEA 
QUI 15-17  / GAVEA",0,0,SIM,INF
INF1383,BANCOS DE DADOS,SERGIO LIFSCHITZ,4,3WA,QQC,24,I,"TER 15-17  / GAVEA 
QUI 15-17  / GAVEA",0,0,SIM,INF
INF1383,BANCOS DE DADOS,MARCOS VIANNA VILLAS,4,3WB,QQC,25,I,"TER 07-09  / GAVEA 
QUI 07-09  / GAVEA",0,0,SIM,INF
INF1403,INTR INT HUMANO-COMPUTADOR,CLARISSE SIECKENIUS DE SOUZA,4,3WB,QQC,30,I,"SEG 13-15  / GAVEA 
QUA 13-15  / GAVEA",0,0,NÃO,INF
INF1405,CONSTRUCAO DE SISTEMAS,EDMUNDO BASTOS TORREAO,5,3WA,QQC,20,I,"TER 19-21  / GAVEA 
QUI 19-21  / GAVEA",0,2,SIM,INF
INF1406,PROGR DISTRIBUIDA CONCORRENTE,CARLOS EDUARDO LARA AUGUSTO,4,3WA,QQC,20,I,"SEG 19-21  / GAVEA 
QUA 19-21  / GAVEA",0,0,SIM,INF
INF1407,PROGRAMACAO PARA A WEB,ALEXANDRE MALHEIROS MESLIN,4,3WA,QQC,30,I,"SEG 19-21  / GAVEA 
QUA 19-21  / GAVEA",0,0,SIM,INF
INF1408,ANALISE DE PROCESSOS,EDMUNDO BASTOS TORREAO,4,3WA,QQC,30,I,"TER 17-19  / GAVEA 
QUI 17-19  / GAVEA",0,0,SIM,INF
INF1410,GERENC PROJ EM INFORMATICA,MARCANTONIO GIUSEPPE MARIA C FABRA,4,3WA,QQC,30,I,"SEG 19-21  / GAVEA 
QUA 19-21  / GAVEA",0,0,SIM,INF
INF1411,PROJETO FINAL I,JOISA DE SOUZA OLIVEIRA,4,3WA,QQC,30,I,GAVEA,0,4,NÃO,INF
INF1412,PROJETO FINAL II,JOISA DE SOUZA OLIVEIRA,4,3WA,QQC,30,I,GAVEA,0,4,SIM,INF
INF1413,TESTE DE SOFTWARE,ARNDT VON STAA,4,3WA,QQC,30,I,"SEG 17-19  / GAVEA 
QUA 17-19  / GAVEA",0,0,SIM,INF
INF1414,QUALIDADE DE SOFTWARE,GUSTAVO ROBICHEZ DE CARVALHO,4,3WA,CCI,2,I,"TER 19-21  / GAVEA 
QUI 19-21  / GAVEA",0,0,SIM,INF
INF1414,QUALIDADE DE SOFTWARE,GUSTAVO ROBICHEZ DE CARVALHO,4,3WA,QQC,28,I,"TER 19-21  / GAVEA 
QUI 19-21  / GAVEA",0,0,SIM,INF
INF1416,SEGURANCA DA INFORMACAO,ANDERSON OLIVEIRA DA SILVA,4,3WA,CCI,2,I,"SEG 17-19  / GAVEA 
QUA 17-19  / GAVEA",0,0,SIM,INF
INF1416,SEGURANCA DA INFORMACAO,ANDERSON OLIVEIRA DA SILVA,4,3WA,QQC,28,I,"SEG 17-19  / GAVEA 
QUA 17-19  / GAVEA",0,0,SIM,INF
INF1503,PROCES DE DADOS(PARA ECONOMIA),ANA CAROLINA LETICHEVSKY,4,3JA,CEC,35,I,"SEG 11-13  / GAVEA 
QUA 11-13  / GAVEA",0,0,NÃO,ECO
INF1503,PROCES DE DADOS(PARA ECONOMIA),CAROLINA DE LIMA AGUILAR,4,3JB,CEC,35,I,"TER 11-13  / GAVEA 
QUI 11-13  / GAVEA",0,0,NÃO,ECO
INF1608,ANALISE NUMERICA I,WALDEMAR CELES FILHO,4,3WA,QQC,20,I,"SEG 13-15  / GAVEA 
QUA 13-15  / GAVEA",0,0,SIM,INF
